Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Primary Use,Electric Range,New or Used Vehicle,Transaction Type,Transaction Date,Year,County,City,State,Postal Code
Plug-in Hybrid Electric Vehicle (PHEV),1FMCU0EZ3N,205783231,2022,FORD,Escape,Commercial,38,Used,Registration Renewal,October 19 2023,2023,King,RENTON,WA,98057
Plug-in Hybrid Electric Vehicle (PHEV),1G6RM1E48E,117898252,2014,CADILLAC,ELR,Passenger,37,Used,Registration Renewal,November 27 2023,2023,Kitsap,BAINBRIDGE ISLAND,WA,98110
Battery Electric Vehicle (BEV),50EA1TEA9R,267627083,2024,LUCID,Air,Passenger,0,New,Original Registration,May 24 2024,2024,King,SEATTLE,WA,98105
Battery Electric Vehicle (BEV),KMHM54AA3P,254876898,2023,HYUNDAI,Ioniq 6,Passenger,0,Used,Original Title,September 29 2023,2023,King,SEATTLE,WA,98103
Plug-in Hybrid Electric Vehicle (PHEV),KNDCC3LD6L,124699263,2020,KIA,Niro,Passenger,26,Used,Registration Renewal,December 31 2022,2022,King,SEATTLE,WA,98136
Plug-in Hybrid Electric Vehicle (PHEV),YV4H600Z0N,198830208,2022,VOLVO,XC90,Passenger,35,New,Original Registration,May 18 2022,2022,King,BELLEVUE,WA,98006
Plug-in Hybrid Electric Vehicle (PHEV),SALK19F48R,260208175,2024,LAND ROVER,Range Rover,Passenger,59,New,Original Registration,February 06 2024,2024,Clark,VANCOUVER,WA,98661
Plug-in Hybrid Electric Vehicle (PHEV),YV4BR0DM5L,2436409,2020,VOLVO,XC60,Passenger,19,New,Original Registration,December 19 2019,2019,King,SEATTLE,WA,98107
Battery Electric Vehicle (BEV),YSMEG3KA8P,240236454,2023,POLESTAR,PS2,Passenger,0,Used,Registration Renewal,May 31 2024,2024,Kitsap,POULSBO,WA,98370
Plug-in Hybrid Electric Vehicle (PHEV),SALWV2RY9L,103647533,2020,LAND ROVER,Range Rover Sport,Passenger,19,Used,Registration Renewal,February 14 2022,2022,King,BELLEVUE,WA,98005
Plug-in Hybrid Electric Vehicle (PHEV),YV4BC0PM5G,177699294,2016,VOLVO,XC90,Passenger,13,Used,Original Registration,September 14 2021,2021,King,SAMMAMISH,WA,98075
Battery Electric Vehicle (BEV),3FMTK3S50P,261135115,2023,FORD,Mustang Mach-E,Passenger,0,New,Original Title,January 18 2024,2024,King,SEATTLE,WA,98103
